# Constructed from biom file
#OTU ID	F1A	F1B	F1C	F1D	F1E	F2A	F2B	F2C	F2D	F2E	F3A	F3B	F3C	F3E	N1A	N1B	N1C	N1D	N1E	N2A	N2B	N2D	N2E	N3A	N3B	N3C	N3D	N3E
d15bc449222795a9ff230013aa633686	127.0	106.0	348.0	72.0	1316.0	428.0	179.0	69.0	185.0	216.0	146.0	331.0	194.0	553.0	405.0	564.0	397.0	1653.0	1495.0	524.0	2369.0	2768.0	331.0	320.0	456.0	320.0	244.0	1597.0
65d43491988bfe557da4d86a5ba25dae	0.0	14.0	175.0	0.0	435.0	110.0	55.0	50.0	993.0	328.0	58.0	226.0	45.0	273.0	130.0	555.0	102.0	624.0	326.0	145.0	1564.0	356.0	45.0	1230.0	0.0	187.0	40.0	151.0
f1860fe716257bd5fd5c4c6a16cf3b95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4240.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ec6665f4d7bda38bfb9ebcac845d2067	0.0	0.0	0.0	0.0	37.0	3585.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	14.0	10.0	0.0	0.0	15.0
06f825b512d903b9230e1a55d87359ee	0.0	0.0	29.0	0.0	0.0	24.0	151.0	0.0	493.0	0.0	0.0	0.0	0.0	49.0	161.0	0.0	84.0	1774.0	20.0	171.0	177.0	31.0	0.0	90.0	0.0	0.0	0.0	0.0
5648dccee530d68ceb3e4d7d22cf8756	16.0	0.0	42.0	19.0	150.0	56.0	0.0	0.0	47.0	22.0	36.0	67.0	0.0	86.0	17.0	102.0	58.0	411.0	276.0	81.0	641.0	413.0	15.0	91.0	83.0	85.0	0.0	251.0
67cf545e267d5bca442227b27fb1e2a3	0.0	0.0	103.0	36.0	206.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	134.0	0.0	99.0	59.0	267.0	230.0	119.0	343.0	511.0	48.0	0.0	47.0	0.0	44.0	221.0
0e2d370f860f8262fe2d1fd778dd030f	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	483.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	28.0	275.0	8.0	919.0	243.0	230.0	68.0	0.0	0.0	7.0	0.0
aa9b3a1418d146c262ec63305292065a	0.0	0.0	209.0	0.0	122.0	39.0	0.0	0.0	0.0	35.0	23.0	25.0	20.0	51.0	92.0	204.0	18.0	72.0	69.0	24.0	505.0	213.0	66.0	305.0	11.0	79.0	0.0	0.0
29fbc7e5021229480248fa7466a499a2	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1512.0	0.0	8.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c579d21280801f02a641e1608606927	0.0	3.0	0.0	34.0	33.0	7.0	19.0	29.0	11.0	17.0	0.0	18.0	0.0	119.0	0.0	15.0	43.0	153.0	90.0	47.0	346.0	94.0	43.0	126.0	0.0	0.0	0.0	31.0
1b51357852b0b814b4d9918c6f0ab762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	167.0	812.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0
e2bd3a9338e344ff658675239fdea3ff	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	18.0	0.0	34.0	0.0	37.0	307.0	0.0	203.0	62.0	36.0	123.0	0.0	76.0	0.0	42.0
